Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,0.036490,0.035860,0.035760,0.035051,0.035051,1079375
2020-08-18,0.035062,0.035301,0.035032,0.035332,0.035332,998978
2020-08-19,0.035337,0.035521,0.033889,0.034568,0.034568,1117288
2020-08-20,0.034593,0.035190,0.034469,0.035059,0.035059,845489
2020-08-21,0.035034,0.035217,0.033454,0.033567,0.033567,1016330
2020-08-22,0.033559,0.033942,0.033361,0.033885,0.033885,867317
2020-08-23,0.033861,0.033941,0.033280,0.033552,0.033552,697592
2020-08-24,0.033578,0.034735,0.033452,0.034663,0.034663,877216
2020-08-25,0.034657,0.034699,0.033223,0.033785,0.033785,1093462
2020-08-26,0.033783,0.034114,0.033522,0.033640,0.033640,867603
2020-08-27,0.033652,0.034168,0.033303,0.033791,0.033791,923555
2020-08-28,0.033791,0.034512,0.033680,0.034297,0.034297,790182
2020-08-29,0.034281,0.035182,0.034167,0.034755,0.034755,762823
2020-08-30,0.034729,0.036595,0.034771,0.036579,0.036579,957345
2020-08-31,0.036589,0.037346,0.036148,0.037247,0.037247,1093651
2020-09-01,0.037230,0.040459,0.037163,0.039852,0.039852,1575774
2020-09-02,0.039849,0.040356,0.037527,0.038553,0.038553,1725232
2020-09-03,0.038570,0.039341,0.037337,0.037644,0.037644,1915303
2020-09-04,0.037546,0.037736,0.036348,0.036934,0.036934,1593170
2020-09-05,0.036915,0.037334,0.031331,0.032967,0.032967,2938183
2020-09-06,0.032974,0.034783,0.031716,0.034373,0.034373,2688982
2020-09-07,0.034381,0.034712,0.032751,0.034010,0.034010,2098798
2020-09-08,0.034061,0.034140,0.033029,0.033322,0.033322,1775786
2020-09-09,0.033344,0.034718,0.033125,0.034280,0.034280,1420371
2020-09-10,0.034311,0.036096,0.034280,0.035520,0.035520,3032009
2020-09-11,0.035522,0.036215,0.035064,0.036025,0.036025,2624410
2020-09-12,0.036016,0.037113,0.035644,0.037079,0.037079,1273242
2020-09-13,0.037111,0.036842,0.034310,0.035411,0.035411,1453531
2020-09-14,0.035423,0.035715,0.034692,0.035322,0.035322,1641884
2020-09-15,0.035311,0.035275,0.033746,0.033791,0.033791,1494921
2020-09-16,0.033782,0.033820,0.033317,0.033332,0.033332,1467677
2020-09-17,0.033337,0.035997,0.033298,0.035530,0.035530,1817476
2020-09-18,0.035559,0.035750,0.034740,0.035119,0.035119,1289072
2020-09-19,0.035090,0.034859,0.034647,0.034751,0.034751,995958
2020-09-20,0.034756,0.034756,0.033912,0.033922,0.033922,1123779
2020-09-21,0.033954,0.034226,0.032265,0.032668,0.032668,1662955
2020-09-22,0.032663,0.033037,0.032374,0.032690,0.032690,1208201
2020-09-23,0.032701,0.032936,0.031073,0.031288,0.031288,1175757
2020-09-24,0.031291,0.032800,0.031121,0.032468,0.032468,1250974
2020-09-25,0.032468,0.033288,0.031962,0.032935,0.032935,1146039
2020-09-26,0.032969,0.033042,0.032582,0.033018,0.033018,1026606
2020-09-27,0.032983,0.033558,0.032856,0.033161,0.033161,1063954
2020-09-28,0.033160,0.033645,0.033037,0.033143,0.033143,1130056
2020-09-29,0.033145,0.033224,0.032914,0.033193,0.033193,948536
2020-09-30,0.033191,0.033512,0.033098,0.033383,0.033383,906269
2020-10-01,0.033382,0.033812,0.033107,0.033263,0.033263,1163965
2020-10-02,0.033262,0.033265,0.032300,0.032766,0.032766,1224116
2020-10-03,0.032763,0.033201,0.032687,0.032924,0.032924,815179
2020-10-04,0.032919,0.033166,0.032756,0.033096,0.033096,872437
2020-10-05,0.033089,0.033112,0.032930,0.032824,0.032824,920363
2020-10-06,0.032811,0.032940,0.032115,0.032158,0.032158,1084251
2020-10-07,0.032165,0.032195,0.031766,0.032067,0.032067,987642
2020-10-08,0.032064,0.032392,0.031856,0.032197,0.032197,1054539
2020-10-09,null,null,null,null,null,null
2020-10-10,0.033025,0.033086,0.033021,0.032840,0.032840,1205564
2020-10-11,0.032836,0.033114,0.032754,0.032953,0.032953,1105438
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.033430,0.033561,0.033045,0.033202,0.033202,1217799
2020-10-15,0.033177,0.033361,0.032844,0.032834,0.032834,1301760
2020-10-16,0.032871,0.032951,0.032308,0.032346,0.032346,1295763
2020-10-17,0.032327,0.032561,0.032298,0.032475,0.032475,964168
2020-10-18,0.032464,0.033004,0.032417,0.032936,0.032936,962010
2020-10-19,0.032958,0.032521,0.032708,0.032357,0.032357,1091058
